V1,V2,V3
RNF20,TP53,1
HIF1A,ARNT,1
ZNF217,KDM1A,1
ZNF217,CTBP1,1
ZNF217,KDM5B,1
NR4A2,SIN3A,1
CTBP1,SATB1,1
CTNNB1,FOXO3,1
REL,CREBBP,1
MBD1,STAT1,1
FBXW7,SREBF1,1
JUN,ATF4,1
MAX,CUX1,1
SREBF2,EGR1,1
MEF2C,EPAS1,1
NFYC,NFYA,1
SREBF2,NFYA,1
SREBF2,SP1,1
NFYC,ADNP2,1
HR,HDAC1,1
CEBPB,HDAC1,1
BACH1,MAFG,1
BACH1,MAFK,1
BACH1,TP53,1
BACH1,HDAC1,1
BACH1,NCOR1,1
TBX21,CREBBP,1
TBX21,GATA3,1
TBX21,SP1,1
NCOR1,CREBBP,1
NCOR1,NR1I2,1
POU2F1,HDAC1,1
ESR1,KLF5,1
CREM,HDAC1,1
JUN,HDAC1,1
SMAD7,HDAC1,1
SPI1,BCL6,1
ATF3,ATF2,1
RERE,LZTR1,1
CREB1,ZNF35,1
CREB1,TRIM22,1
CREB1,ZNF92,1
CTBP1,TCF4,1
DDIT3,HOXA5,1
DDIT3,ZSCAN31,1
DMRT1,TRIM29,1
FLI1,SMAD3,1
GATA3,RARB,1
HLF,MYB,1
TLX2,IRF6,1
TLX2,POU2F1,1
TLX2,IRF9,1
HOXA5,SMAD1,1
HOXB9,SOX15,1
HOXB9,PHTF1,1
HOXB9,HOPX,1
ID3,CBFA2T2,1
IRF4,PROX1,1
IRF4,BATF,1
IRF4,ETV7,1
MYBL2,LZTR1,1
NPAS2,HESX1,1
PPARG,MAFF,1
PPARG,ZNF496,1
RARA,HR,1
SHOX2,TRIM29,1
SREBF2,LZTR1,1
STAT1,LZTR1,1
STAT6,ZNF92,1
TAF7,TRIM22,1
TCF19,LZTR1,1
TFCP2,UBP1,1
YY1,ZNF232,1
PCGF2,SPDEF,1
ZNF175,LZTR1,1
LZTR1,E2F8,1
NKX2-5,HDAC1,1
GLI3,CREBBP,1
SP1,STAT3,1
FOSL1,HDAC1,1
ESR1,SP1,1
CTBP1,TP53,1
JUN,KAT7,1
YY1,MAX,1
YY1,CREBBP,1
CREBBP,MYC,1
HIC1,CTBP1,1
KLF4,HDAC2,1
PLAGL1,CREBBP,1
NR3C1,HDAC1,1
RUNX2,HDAC1,1
NKX3-1,HDAC1,1
SRF,SMAD7,1
RB1,KDM5B,1
ESR1,MTA2,1
TP53,YY1,1
PLAGL1,HDAC1,1
KDM3A,ETV2,1
CITED2,SMAD3,1
SMAD2,CITED2,1
YY1,HDAC1,1
ZNF217,HDAC2,1
CEBPD,HDAC1,1
CREBBP,HDAC1,1
ESR1,RELA,1
RUNX3,CBFB,1
RERE,HDAC1,1
RERE,HDAC2,1
RFX5,HDAC2,1
ESR1,MYC,1
SP1,ESRRA,1
NFYC,HDAC1,1
TP73,KDM1A,1
SNAI3,HDAC2,1
SNAI3,HDAC1,1
BCL3,STAT1,1
BCL3,STAT3,1
BCL3,HDAC1,1
RELA,ATF3,1
MTA1,LMO4,1
ESR1,LMO4,1
LMO4,HDAC1,1
LMO4,HDAC2,1
SIN3A,PA2G4,1
NFX1,SIN3A,1
SIN3A,CBFA2T2,1
NCOR1,CBFA2T2,1
TCFL5,USF1,1
NCOR1,SPEN,1
CEBPB,CREBBP,1
CEBPD,CREBBP,1
SMAD4,YY1,1
SMAD2,YY1,1
CTNNB1,HDAC1,1
SOX9,CREB3L4,1
HDAC1,E4F1,1
CTBP1,TCF7L2,1
MTA3,HDAC1,1
MTA3,HDAC2,1
NKX3-1,SP4,1
RUNX2,HES1,1
SP1,TP53,1
NCOR1,NR1H3,1
NCOR1,NR1H2,1
STAT5A,HDAC1,1
CREB1,HDAC1,1
CREB1,HDAC2,1
LCOR,ESR1,1
LCOR,VDR,1
LCOR,HDAC1,1
ESR1,TAF1B,1
PITX2,HDAC1,1
CTNNB1,PITX2,1
SIN3A,TAF6,1
TAF6,HDAC1,1
TAF6,HDAC2,1
BCL6,HDAC2,1
CREB1,POU2F1,1
CTBP1,CREBBP,1
MTF1,CREBBP,1
SMAD2,GTF2I,1
SMAD2,GTF2IRD1,1
TFCP2,HDAC1,1
TFCP2,HDAC2,1
NCOR1,BCL6,1
SP1,CTBP1,1
POU2F1,STAT5B,1
SP1,NCOR1,1
NCOR1,NR3C1,1
NCOR1,NFE2L2,1
NCOR1,PPARA,1
STAT3,HDAC1,1
SMAD3,CREBBP,1
TP53,NFYA,1
ATF7,TAF12,1
ATF7,TAF4,1
PPARG,NCOR1,1
RB1,STAT3,1
HDAC1,KLF5,1
STAT3,HDAC2,1
NFYB,TAF12,1
NFYC,TAF12,1
NFYB,TAF6,1
NFYC,TAF6,1
SIN3A,TGIF1,1
SIN3A,MTA2,1
TRIM28,STAT1,1
SMAD3,PITX2,1
SP1,GATA3,1
ETS1,CREBBP,1
ETS2,CREBBP,1
KLF4,HDAC1,1
ESR1,HDAC1,1
KLF1,HDAC1,1
KLF1,SIN3A,1
SP1,SIN3A,1
REST,SP1,1
SATB2,MTA2,1
SATB2,HDAC1,1
RUNX2,CREBBP,1
PPARG,HMGA1,1
PPARG,SP1,1
PPARG,TFAP2A,1
PPARG,CEBPB,1
MNT,HDAC1,1
MNT,MYC,1
MYC,HDAC1,1
SP1,RXRA,1
NCOR1,ETV6,1
TP53,TAF5L,1
TP53,TADA2A,1
TP53,TADA3,1
TP53,TAF10,1
MAFK,HDAC1,1
MAFK,HDAC2,1
MAFK,RELA,1
RB1,KDM1A,1
SP1,SMAD4,1
CEBPB,STAT3,1
SMAD3,HDAC1,1
SIN3A,ARID4A,1
ARID4A,HDAC1,1
TP73,HDAC1,1
BCL6,MTA3,1
TCF12,CREBBP,1
TCF12,TAF4,1
RUNX1,TCF3,1
CREBBP,HDAC2,1
NR3C1,HDAC2,1
LEF1,HDAC1,1
CREBBP,HOXB6,1
YY1,TFCP2,1
CTCF,SIN3A,1
SIN3A,TP53,1
REST,SIN3A,1
REST,HDAC1,1
RARA,HMGA1,1
JUN,HMGA1,1
TAF7,THRA,1
TAF7,VDR,1
ENO1,HDAC1,1
HDAC1,TAF1B,1
NCOR1,THRA,1
FOXO3,CREBBP,1
CREBBP,VDR,1
ZEB2,MTA2,1
ZEB2,HDAC1,1
ZEB2,HDAC2,1
RUNX1,HDAC2,1
RARA,HDAC2,1
